make,model,year,mileage,city,color,trans,price
Cadillac,Escalade,2015,134000,Riyadh,White,Automatic,165000
Cadillac,Escalade,2015,79950,Dammam,White,Automatic,165000
Toyota,Avalon,2020,3000,Riyadh,Grey,Automatic,165000
Toyota,Cressida,2020,303465,Al Riyadh,Maroon,Manual,165000
Toyota,Land Cruiser,2015,62282,Dammam,White,Automatic,165000
Toyota,Land Cruiser,2016,50371,Riyadh,Brown,Automatic,165000
Gmc,Yukon Xl,2019,30000,Riyadh,Blue,Automatic,165000
Lexus,Lx,2014,86088,Dammam,White,Automatic,165000
Toyota,Land Cruiser,2015,23850,Dammam,White,Automatic,165000
Nissan,Patrol Platinum,2017,89000,Riyadh,Black,Automatic,165000
Land Rover,Range Rover Sport Hse,2014,89000,Riyadh,Grey,Automatic,165000
Cadillac,Ct6,2017,44870,Riyadh,Grey,Automatic,165000
Toyota,Land Cruiser,2016,57000,Riyadh,Maroon,Automatic,165000
Toyota,Land Cruiser Gxr,2015,46000,Jeddah,White,Automatic,165000
Lexus,Gs450,2016,78000,Jeddah,Black,Automatic,165000
Lexus,Lx570S,2014,186000,Riyadh,Black,Automatic,165000
Dodge,Ram,2017,9988,Riyadh,Black,Automatic,164999
Jaguar,Xf,2019,1509,Riyadh,Blue,Automatic,164593
Toyota,Land Cruiser Gxr,2015,78000,Riyadh,Silver,Automatic,164000
Land Rover,Range Rover Sport Supercharged,2014,105000,Riyadh,White,Automatic,164000
Nissan,Patrol Se,2020,400,Jeddah,Green,Automatic,163000
Chevrolet,Tahoe,2020,4681,Jeddah,Black,Automatic,163000
Gmc,Yukon,2019,3000,Jeddah,White,Automatic,163000
Dodge,Charger Daytona,2018,26000,Riyadh,Grey,Automatic,162999
Lexus,Es350,2018,39000,Jeddah,Golden,Automatic,162500
Lexus,Es,2018,31962,Jeddah,Gold,Automatic,162500
Jeep,Wrangler,2019,7000,Jeddah,Green,Automatic,162000
Gmc,Yukon,2019,16000,Jeddah,Silver,Automatic,162000
Lexus,Nx,2020,1599,Jeddah,Black,Automatic,162000
Dodge,Charger,2016,98669,Riyadh,Red,Automatic,162000
Chevrolet,Tahoe Ltz,2016,44000,Jeddah,White,Automatic,162000
Gmc,Yukon,2019,18946,Jeddah,Silver,Automatic,162000
Dodge,Charger,2016,97000,Riyadh,Red,Automatic,162000
Infiniti,Qx50,2019,15700,Jeddah,Silver,Automatic,161000
Toyota,Land Cruiser,2015,67642,Dammam,White,Automatic,161000
Nissan,Patrol,2017,81000,Riyadh,Dark Gray,Automatic,160000
Ford,F 150 Lariat,2016,39300,Riyadh,Grey,Automatic,160000
